v2,v1
Your OTP 6859 is sent for your phone number 9405917910,ham
Congratulations! You've won 10000$ Cash Prize. Click on the link below to claim your prize. https://www.sweeptosuccess.com/survey/123456789,ham
"Congratulations!! you have won an amount of 10,000 rupees. To claim your prize, Contact us on 9876543210.",ham
और तो क्या? क्या करेंगे? सिर्फ एक दिन में ऐसा नहीं हो सकता.,ham
"*Hi, You have 1000 Rs in your account.",ham
"Congrats, you've won an iPhone. To activate your gift, click on this link: https://apple.com.in/iphone-13-mini-512gb/",scam
Your 100% payment has been sent successfully.,scam
"Dear Customer, Your card has been blocked, please confirm your details in 24 hours. Visit https://www.indianbank.co.in/",ham
"Dear Customer , Your payment is being processed. Please confirm your payment. URL:https://bit.ly/c8w70X",ham
"Jean, a cheque for our order has been accepted. You can find it attached to this email.",ham
"Dear Customer, Your new phone number is ready for use. Call 1800-208-2222 to activate it.",scam
"[CONNECT] Hello, your card is locked! We can help you to unlock it. Call us now on +19292562696",scam
"Congrats! You have successfully applied for $1,500,000.00 loan.",scam
Your Apple Watch has been locked due to highly suspicious activity. To unlock your Apple Watch press the Reply button and send your Apple Watch's serial number.,scam
Your SBI card will expire tomorrow. Please call on 4129218182 to reactivate it.,ham
Your one time password is 5622. We have received a request for change in your account password. Please don't share your OTP.,ham
Urgent call re: your insurance claim application... Call back on 08089222666 or reply with details,ham
You have been identified as a winner of the Airtel Gift Card draw. Please click the link below to claim your prize.,ham
"Hi, I'm calling from the credit card company. You have been charged $125.00 by some unknown transaction. Do not make any payments to this company. Please call us back on 1-800-654-3217.",ham
పప్ప్ప్ప్ప్ప్ప్ప్ప్ప్ప్ప్ప్ప్ప్,ham
***** *-BROKER INDIA* *****,scam
"You received a gift from the world's largest dating site. To keep the gift, click the link: http://buy.in/q3X",ham
"Hi, you have won a prize worth $1,500. kindly claim your prize using the link below https://luckywinner.online/",scam
"We have received a request from your bank to confirm your account details. To get the OTP, tap on link: http://d.pl/LJbWo",scam
